date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:19:11	65715/65715	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jan%202026%2015:19:00%20GMT	https://hyperfollow.com/kaihiel	C:/My%20Web%20Sites/KaihielHiperfollow/hyperfollow.com/kaihiel.html	(from )
12:19:12	240/240	---MCZ	200	added ('OK')	text/plain	etag:W/%22681291df-240%22	https://hyperfollow.com/robots.txt		(from )
12:19:13	4379/4379	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e60-111b%22	https://cdnjs.cloudflare.com/ajax/libs/fontfaceobserver/2.1.0/fontfaceobserver.standalone.js	C:/My%20Web%20Sites/KaihielHiperfollow/cdnjs.cloudflare.com/ajax/libs/fontfaceobserver/2.1.0/fontfaceobserver.standalone.js	(from https://hyperfollow.com/kaihiel)
12:19:13	64443/64443	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266ccaa32-fbbb%22	https://hyperfollow.com/js/sweetalert2@8.min.js	C:/My%20Web%20Sites/KaihielHiperfollow/hyperfollow.com/js/sweetalert2@8.min.js	(from https://hyperfollow.com/kaihiel)
12:19:13	216282/216282	---MCZ	200	added ('OK')	text/css	etag:W/%2267ac1b0a-34cda%22	https://hyperfollow.com/fonts/fontawesome-pro-6.7.2-web/css/all.min.css	C:/My%20Web%20Sites/KaihielHiperfollow/hyperfollow.com/fonts/fontawesome-pro-6.7.2-web/css/all.min.css	(from https://hyperfollow.com/kaihiel)
12:19:13	31000/31000	---MCZ	200	added ('OK')	text/css	etag:%2266ccaa32-7918%22	https://hyperfollow.com/font-awesome-4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/KaihielHiperfollow/hyperfollow.com/font-awesome-4.7.0/css/font-awesome.min.css	(from https://hyperfollow.com/kaihiel)
12:19:13	85578/85578	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266ccaa32-14e4a%22	https://hyperfollow.com/js/jquery.2.2.4.min.js	C:/My%20Web%20Sites/KaihielHiperfollow/hyperfollow.com/js/jquery.2.2.4.min.js	(from https://hyperfollow.com/kaihiel)
12:19:14	253668/253668	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266ccaa32-3dee4%22	https://hyperfollow.com/js/jquery-ui.1.12.1.min.js	C:/My%20Web%20Sites/KaihielHiperfollow/hyperfollow.com/js/jquery-ui.1.12.1.min.js	(from https://hyperfollow.com/kaihiel)
12:19:14	4011/4011	---M-Z	200	added ('OK')	application/javascript	etag:%225f23d142-fab%22	https://cdnjs.cloudflare.com/ajax/libs/fitty/2.3.2/fitty.min.js	C:/My%20Web%20Sites/KaihielHiperfollow/cdnjs.cloudflare.com/ajax/libs/fitty/2.3.2/fitty.min.js	(from https://hyperfollow.com/kaihiel)
12:19:14	35973/35973	---MCZ	200	added ('OK')	text/css	etag:%2266ccaa32-8c85%22	https://hyperfollow.com/css/jquery-ui.1.12.1.css	C:/My%20Web%20Sites/KaihielHiperfollow/hyperfollow.com/css/jquery-ui.1.12.1.css	(from https://hyperfollow.com/kaihiel)
12:19:14	4511/4511	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266ccaa32-119f%22	https://hyperfollow.com/js/jquery.placeholder.js	C:/My%20Web%20Sites/KaihielHiperfollow/hyperfollow.com/js/jquery.placeholder.js	(from https://hyperfollow.com/kaihiel)
12:19:15	5986/5986	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266ccaa32-1762%22	https://hyperfollow.com/js/jquery.kenburns-0.1.js	C:/My%20Web%20Sites/KaihielHiperfollow/hyperfollow.com/js/jquery.kenburns-0.1.js	(from https://hyperfollow.com/kaihiel)
12:19:15	3651/3651	---MCZ	200	added ('OK')	application/javascript	etag:%2266ccaa32-e43%22	https://hyperfollow.com/js/mailcheck.min.js	C:/My%20Web%20Sites/KaihielHiperfollow/hyperfollow.com/js/mailcheck.min.js	(from https://hyperfollow.com/kaihiel)
12:19:15	53324/53324	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03f26-d04c%22	https://cdnjs.cloudflare.com/ajax/libs/moment.js/2.24.0/moment.min.js	C:/My%20Web%20Sites/KaihielHiperfollow/cdnjs.cloudflare.com/ajax/libs/moment.js/2.24.0/moment.min.js	(from https://hyperfollow.com/kaihiel)
12:19:16	6392/6392	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03f26-18f8%22	https://cdnjs.cloudflare.com/ajax/libs/moment-timezone/0.5.26/moment-timezone.min.js	C:/My%20Web%20Sites/KaihielHiperfollow/cdnjs.cloudflare.com/ajax/libs/moment-timezone/0.5.26/moment-timezone.min.js	(from https://hyperfollow.com/kaihiel)
12:19:16	1017/1017	---MC-	200	added ('OK')	text/javascript	date:Wed,%2028%20Jan%202026%2015:19:04%20GMT	https://www.google.com/recaptcha/api.js	C:/My%20Web%20Sites/KaihielHiperfollow/www.google.com/recaptcha/api.js	(from https://hyperfollow.com/kaihiel)
12:19:16	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2028%20Jan%202026%2015:19:05%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/KaihielHiperfollow/www.googletagmanager.com/gtm.f5445.delayed	(from https://hyperfollow.com/kaihiel)
12:19:16	65715/65715	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jan%202026%2015:19:05%20GMT	https://hyperfollow.com/kaihiel/	C:/My%20Web%20Sites/KaihielHiperfollow/hyperfollow.com/kaihiel/index.html	(from https://hyperfollow.com/kaihiel)
12:19:16	110154/110154	---MCZ	200	added ('OK')	application/javascript	etag:%22694bb237-1ae4a%22	https://hyperfollow.com/js/header.js?cacheHash=3a5b7ea9145cd8ae	C:/My%20Web%20Sites/KaihielHiperfollow/hyperfollow.com/js/header48a9.js	(from https://hyperfollow.com/kaihiel)
12:19:17	199656/199656	---MCZ	200	added ('OK')	text/css	etag:W/%226977cbdf-30be8%22	https://hyperfollow.com/css/main.css?cacheHash=340c0f946a83c1ec	C:/My%20Web%20Sites/KaihielHiperfollow/hyperfollow.com/css/main4194.css	(from https://hyperfollow.com/kaihiel)
12:19:17	96744/96744	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Jan%202026%2015:02:35%20GMT	https://distrokid.imgix.net/http%3A%2F%2Fgather.fandalism.com%2Fhyperfollow-blob_image_2967039_4gr15uu16eeenpjlz07q1o_1762901814237.jpg?fm=jpg&q=75&w=800&s=19e7678107b5ebe37c3a755c3cdf8c4d	C:/My%20Web%20Sites/KaihielHiperfollow/distrokid.imgix.net/http_/gather.fandalism.com/hyperfollow-blob_image_2967039_4gr15uu16eeenpjlz07q1o_176290181423734a2.jpg	(from https://hyperfollow.com/kaihiel)
12:19:17	96/96	---MC-	302	error ('Found')	text/html	date:Wed,%2028%20Jan%202026%2015:19:06%20GMT	https://hyperfollow.com/newUser/?app=&c=&albumuuid=&incoming=&forward=&urlStruct=	C:/My%20Web%20Sites/KaihielHiperfollow/hyperfollow.com/newUser/indexdb06.html	(from https://hyperfollow.com/kaihiel)
12:19:17	28526/28526	---M--	200	added ('OK')	image/png	etag:%2266ccab1c-6f6e%22	https://hyperfollow.com/images/socialMediaIcons/hyperfollow/spotify.png	C:/My%20Web%20Sites/KaihielHiperfollow/hyperfollow.com/images/socialMediaIcons/hyperfollow/spotify.png	(from https://hyperfollow.com/kaihiel)
